candidate,plane_depth_mm,t_scale,lwir_cx_offset,lwir_cy_offset,max_residual_shift,aligned_id_mean,aligned_id_min,aligned_id_max,sequence_mean,sequence_min,sequence_max,target_ncc_mean,target_ncc_min,target_ncc_max,target_mi_mean,target_mi_min,target_mi_max,target_edge_distance_mean,target_edge_distance_min,target_edge_distance_max,target_valid_ratio_mean,target_valid_ratio_min,target_valid_ratio_max,raw_rgb_ncc_mean,raw_rgb_ncc_min,raw_rgb_ncc_max,raw_rgb_mi_mean,raw_rgb_mi_min,raw_rgb_mi_max,raw_rgb_edge_distance_mean,raw_rgb_edge_distance_min,raw_rgb_edge_distance_max,valid_ratio_mean,valid_ratio_min,valid_ratio_max,boundary_f1_mean,boundary_f1_min,boundary_f1_max,boundary_edge_distance_mean,boundary_edge_distance_min,boundary_edge_distance_max,boundary_precision_mean,boundary_precision_min,boundary_precision_max,boundary_recall_mean,boundary_recall_min,boundary_recall_max,residual_dx_mean,residual_dx_min,residual_dx_max,residual_dy_mean,residual_dy_min,residual_dy_max,residual_accepted_mean,residual_accepted_min,residual_accepted_max,selection_score,stage
d300_t1.45_ox10_oy0_r2,300.0,1.45,10.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.262895663579305,0.17137327790260315,0.3666146993637085,0.534895573979772,0.49350136943167533,0.5639669679370598,6.51121171315511,4.000410079956055,10.0464506149292,0.8304184751157407,0.8294216579861111,0.8309168836805556,0.2586791018644969,0.1727708876132965,0.35075968503952026,0.18152306186795567,0.15903928581321108,0.20388393430400464,2.263423045476278,1.4297168254852295,2.85451078414917,0.8304184751157407,0.8294216579861111,0.8309168836805556,0.20258054051095242,0.17865682730547594,0.23808311657406245,2.263423045476278,1.4297168254852295,2.85451078414917,0.7241164468754541,0.632258064516129,0.8481481481481481,0.1177651232241174,0.1040256501603135,0.13847752663029358,0.6666666666666666,-2.0,2.0,-1.6666666666666667,-2.0,-1.0,1.0,1.0,1.0,0.2607021990249106,residual_refine
d300_t1.48_ox8_oy0_r4,300.0,1.475,8.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26147961616516113,0.17159684002399445,0.36419323086738586,0.5359243098215708,0.4921565325927848,0.5691066007591143,6.373628934224446,3.8168816566467285,10.007562637329102,0.8308228443287037,0.8288292100694444,0.8318196614583333,0.28011973202228546,0.19734637439250946,0.39093321561813354,0.18416158480088876,0.16167061205119707,0.20109917279639414,1.7638404766718547,1.2423255443572998,2.2173330783843994,0.8308228443287037,0.8288292100694444,0.8318196614583333,0.21092934236850877,0.1938722596732019,0.2398997898726157,1.76498544216156,1.2438772916793823,2.2173330783843994,0.7946548693739706,0.6824324324324325,0.8651685393258427,0.12179850506787378,0.10964408725602756,0.13925694985710574,1.0,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.2605805251693184,residual_refine
d300_t1.43_ox12_oy0_r2,300.0,1.425,12.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2616858234008153,0.17001573741436005,0.3691618740558624,0.5331173873480236,0.494494671768527,0.5634290079109256,6.27423620223999,3.8692264556884766,9.781187057495117,0.8295015914351852,0.8285047743055556,0.83,0.2588663101196289,0.17276501655578613,0.3430195748806,0.1784194049813322,0.15470136467756912,0.19882474208513445,2.26863427956899,1.2487071752548218,3.0680811405181885,0.8295015914351852,0.8285047743055556,0.83,0.1924340774441541,0.1535575749849757,0.23705224000256553,2.2696765661239624,1.2518340349197388,3.0680811405181885,0.7125055534149028,0.5862068965517241,0.8716981132075472,0.1112459984445906,0.0883505521909512,0.13717848791894,0.6666666666666666,-2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.26031797942698426,residual_refine
d300_t1.45_ox10_oy0_r4,300.0,1.45,10.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26087560256322223,0.17031647264957428,0.36723849177360535,0.533919758436161,0.49345859943227943,0.5676973026644817,6.311697324117024,3.9104485511779785,9.559685707092285,0.829920066550926,0.8279264322916666,0.8309168836805556,0.28225912650426227,0.19999977946281433,0.38596606254577637,0.18166244064786718,0.1549936834875153,0.20101316901182747,1.784656286239624,1.298354148864746,2.162654161453247,0.829920066550926,0.8279264322916666,0.8309168836805556,0.21100083438101444,0.19294005628062685,0.23823811272424386,1.7863914171854656,1.3015286922454834,2.162654161453247,0.7934554611647777,0.6996699669966997,0.8620689655172413,0.12183142224480492,0.10935706084959816,0.13821771888802287,1.0,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.26025144825937885,residual_refine
d300_t1.45_ox12_oy0_r2,300.0,1.45,12.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2609213838974635,0.17050981521606445,0.371692955493927,0.5309943886097869,0.49544858612767945,0.5624539996010842,6.1963067054748535,4.154089450836182,9.435285568237305,0.8276613136574075,0.8266644965277777,0.8281597222222222,0.25581017633279163,0.16785936057567596,0.33056360483169556,0.173723746568616,0.14318336289551112,0.19803780267481133,2.348974665006002,1.3208757638931274,2.9746599197387695,0.8276613136574075,0.8266644965277777,0.8281597222222222,0.19172022842704148,0.16584413564154857,0.2386036156665561,2.3495057821273804,1.3224691152572632,2.9746599197387695,0.7113305090735015,0.6306620209059234,0.8615384615384616,0.11080106025268481,0.09547559672247952,0.13847752663029358,0.6666666666666666,-2.0,2.0,-2.0,-2.0,-2.0,1.0,1.0,1.0,0.25987927451645576,residual_refine
d300_t1.43_ox12_oy0_r4,300.0,1.425,12.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26025811831156415,0.1693052351474762,0.37074536085128784,0.532330871428809,0.49434078858029384,0.5676682357678072,6.331448952356975,3.848332166671753,9.718353271484375,0.8290031828703702,0.8270095486111111,0.83,0.28387250006198883,0.20231397449970245,0.3799910545349121,0.1800791029285134,0.15349808782397978,0.19522723766224997,1.795770804087321,1.252667784690857,2.2406809329986572,0.8290031828703702,0.8270095486111111,0.83,0.20970155873452426,0.19375685384177593,0.2414028676645956,1.7970081170399983,1.2543184757232666,2.2406809329986572,0.8000097308379711,0.6996466431095406,0.8844621513944223,0.12076112753408387,0.10993111366245695,0.13977656534164717,1.3333333333333333,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.259371046105589,residual_refine
d300_t1.43_ox10_oy0_r4,300.0,1.425,10.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2607676734526952,0.16944657266139984,0.3626166880130768,0.5359463078382029,0.4924305035425333,0.5679573437243491,6.526916424433391,3.930804491043091,10.262237548828125,0.831765769675926,0.8297721354166666,0.8327625868055556,0.28264396886030835,0.2008727639913559,0.3937559127807617,0.18386599903826661,0.16035933436586314,0.2013625718657715,1.7759318749109905,1.3443702459335327,2.2318904399871826,0.831765769675926,0.8297721354166666,0.8327625868055556,0.21720793710736366,0.1919951239333604,0.24070085110854259,1.7770862181981404,1.3458606004714966,2.2318904399871826,0.7812447185109056,0.6542857142857142,0.8561151079136691,0.12666314210697513,0.10849598163030999,0.1400363730839179,0.6666666666666666,-4.0,4.0,-3.0,-4.0,-1.0,1.0,1.0,1.0,0.2592638871533732,residual_refine
d300_t1.48_ox8_oy0_r2,300.0,1.475,8.0,0.0,2,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.26268287003040314,0.17264394462108612,0.3628368079662323,0.5368066625765978,0.49274655478394414,0.5649155276946817,6.730657021204631,3.8660523891448975,10.694537162780762,0.8313212528935185,0.8303244357638889,0.8318196614583333,0.257572665810585,0.17249101400375366,0.35725679993629456,0.182933067084159,0.16475039806432756,0.20503403875910167,2.266954859097799,1.4282068014144897,2.9186835289001465,0.8313212528935185,0.8303244357638889,0.8318196614583333,0.20234481889427433,0.17786326841388153,0.2386313932690866,2.266954859097799,1.4282068014144897,2.9186835289001465,0.702665855143031,0.6129032258064516,0.8150943396226416,0.11819813612790193,0.1040256501603135,0.13977656534164717,0.6666666666666666,-2.0,2.0,-1.6666666666666667,-2.0,-1.0,1.0,1.0,1.0,0.25925650197671896,residual_refine
d325_t1.48_ox14_oy0_r4,325.0,1.475,14.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2595083713531494,0.16597385704517365,0.3677074611186981,0.5334524372060011,0.4930573904020808,0.567271523024929,6.314014911651611,3.7892556190490723,8.94439697265625,0.8309418402777777,0.8289453125,0.8319401041666666,0.2868666499853134,0.20781154930591583,0.3880103826522827,0.17940582906447178,0.1472009467834725,0.19562269977114796,1.6396103302637737,1.1956316232681274,1.8835605382919312,0.8309418402777777,0.8289453125,0.8319401041666666,0.21800903662865065,0.18458438410949982,0.2383203978978828,1.641865571339925,1.1989459991455078,1.8849507570266724,0.825634734604383,0.7550335570469798,0.896,0.12592881918913926,0.10390355912743972,0.1374382956612107,0.3333333333333333,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.2591973555749723,residual_refine
d325_t1.45_ox16_oy0_r4,325.0,1.45,16.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2583898703257243,0.16343382000923157,0.3713568150997162,0.5312599422517023,0.49393819120367977,0.5655900837038028,6.047408978144328,3.8861281871795654,9.232698440551758,0.8298849826388889,0.8278884548611111,0.8308832465277778,0.2889124850432078,0.21281522512435913,0.37947145104408264,0.17575983689956323,0.14328298423959687,0.19348671192359201,1.6977697213490803,1.1363434791564941,2.035163402557373,0.8298849826388889,0.8278884548611111,0.8308832465277778,0.20367609455807564,0.17279848089247568,0.2386920611559205,1.6995790402094524,1.1395677328109741,2.035163402557373,0.8192586886120993,0.7213740458015268,0.9066147859922179,0.1165537139529405,0.09644087256027555,0.1374382956612107,0.3333333333333333,-4.0,4.0,-3.3333333333333335,-4.0,-2.0,1.0,1.0,1.0,0.25885221829734717,residual_refine
d300_t1.45_ox12_oy0_r4,300.0,1.45,12.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.25862012803554535,0.16894111037254333,0.37248000502586365,0.5305334238727165,0.49517353068618586,0.5681486437262743,6.190215031305949,3.8949649333953857,9.47782039642334,0.8271629050925927,0.8251692708333334,0.8281597222222222,0.28272389868895215,0.2016146332025528,0.36804234981536865,0.17412191850207762,0.14445086823980988,0.18954421439336885,1.8452972173690796,1.0832089185714722,2.352339506149292,0.8271629050925927,0.8251692708333334,0.8281597222222222,0.2081710098034182,0.18847565040643782,0.2292525207689165,1.847111980120341,1.0865501165390015,2.352339506149292,0.7923289747470915,0.6829268292682927,0.907258064516129,0.1200340069780036,0.10706084959816303,0.13120290984671343,1.3333333333333333,-4.0,4.0,-3.6666666666666665,-4.0,-3.0,1.0,1.0,1.0,0.2584140595315164,residual_refine
d325_t1.45_ox14_oy0_r4,325.0,1.45,14.0,0.0,4,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2590416222810745,0.16381420195102692,0.36432507634162903,0.5350433770851774,0.4919188603565959,0.5666490994214034,6.513328393300374,3.975926399230957,10.056323051452637,0.8321538628472221,0.8306564670138888,0.8336512586805556,0.28785830239454907,0.21094872057437897,0.3956436514854431,0.17965064519644466,0.14713363941809088,0.2012583210430726,1.7420934836069744,1.325478196144104,1.9640452861785889,0.8321538628472221,0.8306564670138888,0.8336512586805556,0.2055178765802371,0.1788894018334103,0.23672642361722457,1.7438490390777588,1.327012538909912,1.9655970335006714,0.8030298384329528,0.7303370786516854,0.8629629629629629,0.11804406941990503,0.10045924225028703,0.13717848791894,-0.6666666666666666,-4.0,4.0,-3.0,-4.0,-1.0,1.0,1.0,1.0,0.256989714604543,residual_refine
d300_t1.45_ox10_oy0_r6,300.0,1.45,10.0,0.0,6,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.25603607296943665,0.16346709430217743,0.36483851075172424,0.529684293517143,0.4927395686195437,0.5622539083296888,6.096339384714763,3.6904125213623047,9.434375762939453,0.8279264322916667,0.8264312065972222,0.8309168836805556,0.3016343414783478,0.2309277355670929,0.40505072474479675,0.17124734254370386,0.13287811625516316,0.19313685912915624,1.5551885763804119,1.1229487657546997,2.0657036304473877,0.8279264322916667,0.8264312065972222,0.8309168836805556,0.19224892501940186,0.13742541301372832,0.23247909727414862,1.5571568409601848,1.1263728141784668,2.0681843757629395,0.8488844431255638,0.7964071856287425,0.9090909090909091,0.10880059242205782,0.07520091848450057,0.1332813717848792,-2.0,-6.0,6.0,-5.0,-6.0,-3.0,1.0,1.0,1.0,0.25555469758797533,residual_refine
d300_t1.48_ox8_oy0_r6,300.0,1.475,8.0,0.0,6,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.25741125643253326,0.16547629237174988,0.36235421895980835,0.5318406066006051,0.49174023958443236,0.5641577766655851,6.530164798100789,3.726456880569458,9.918107032775879,0.8288292100694444,0.827333984375,0.8318196614583333,0.298564612865448,0.22664940357208252,0.4085128903388977,0.1757111724470974,0.13844845128912342,0.1997799881385792,1.4899891217549641,1.2723804712295532,1.8864612579345703,0.8288292100694444,0.827333984375,0.8318196614583333,0.20010627397334346,0.15210057829685905,0.23726196248840614,1.491285761197408,1.2739558219909668,1.8887758255004883,0.8522541136855719,0.8212290502793296,0.8686131386861314,0.11376900223161508,0.08381171067738231,0.1374382956612107,-2.0,-6.0,6.0,-4.666666666666667,-6.0,-2.0,1.0,1.0,1.0,0.25482761167262596,residual_refine
d300_t1.43_ox10_oy0_r6,300.0,1.425,10.0,0.0,6,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.256592924396197,0.16189029812812805,0.3628220558166504,0.5321661367201109,0.49169852279226045,0.5640126025276867,6.449092070261638,3.921569347381592,9.543631553649902,0.8297721354166666,0.8282769097222222,0.8327625868055556,0.3004652112722397,0.2302672415971756,0.4094048738479614,0.17517936988331184,0.13876445148167488,0.19836219246772777,1.4731285572052002,1.1731443405151367,1.8895961046218872,0.8297721354166666,0.8282769097222222,0.8327625868055556,0.19958327005996837,0.1539081899021626,0.23945234180964975,1.4741949637730916,1.176343560218811,1.8895961046218872,0.8559189009759353,0.8166666666666667,0.8841698841698842,0.11331060700796051,0.08495981630309989,0.13847752663029358,-2.0,-6.0,6.0,-4.666666666666667,-6.0,-2.0,1.0,1.0,1.0,0.2544858423136312,residual_refine
d325_t1.45_ox14_oy0_r6,325.0,1.45,14.0,0.0,6,104.33333333333333,103.0,106.0,386.3333333333333,385.0,388.0,0.2559468597173691,0.15911012887954712,0.3638714551925659,0.5313931885672895,0.4911000982134197,0.5634356556782203,6.418179273605347,3.957139253616333,9.593146324157715,0.8306564670138888,0.8291590711805555,0.8336512586805556,0.30378734568754834,0.23714898526668549,0.40860968828201294,0.17381894878100856,0.1379094962345546,0.19631525262208235,1.4400654633839924,1.1710309982299805,1.9768575429916382,0.8306564670138888,0.8291590711805555,0.8336512586805556,0.1933024951019394,0.14416296683207103,0.23796912504419127,1.4412140448888142,1.1727718114852905,1.9768575429916382,0.872429136263559,0.8,0.9201680672268907,0.10906407285290581,0.07921928817451206,0.13717848791894,-2.0,-6.0,6.0,-4.666666666666667,-6.0,-2.0,1.0,1.0,1.0,0.2536725682591984,residual_refine
